,Topic,IPC,Quantity
346,25,D,8
347,26,D,0
348,27,D,0
349,28,D,0
350,29,D,0
351,30,D,0
352,31,D,0
353,32,D,0
354,33,D,0
355,34,D,0
356,35,D,3
357,36,D,0
358,37,D,22
359,38,D,0
360,39,D,0
361,40,D,2
362,41,D,0
363,42,D,0
364,43,D,0
365,44,D,2
366,45,D,0
367,46,D,0
368,47,D,0
369,48,D,2
370,49,D,0
371,50,D,0
372,51,D,0
373,52,D,0
374,53,D,0
375,54,D,0
376,55,D,0
377,56,D,0
378,57,D,0
379,58,D,0
380,59,D,10
381,60,D,0
382,61,D,0
383,62,D,1
384,63,D,0
385,64,D,0
386,65,D,0
387,66,D,0
388,67,D,0
389,68,D,0
390,69,D,1
391,70,D,1
392,71,D,0
393,72,D,0
394,73,D,0
395,74,D,0
396,75,D,0
397,76,D,0
398,77,D,1
399,78,D,0
400,79,D,0
401,80,D,0
402,81,D,1
403,82,D,0
404,83,D,0
405,84,D,1
406,85,D,0
407,86,D,0
408,87,D,0
409,88,D,0
410,89,D,0
411,90,D,0
412,91,D,0
413,92,D,0
414,93,D,21
415,94,D,0
416,95,D,0
417,96,D,0
418,97,D,0
419,98,D,0
420,99,D,0
421,100,D,0
422,101,D,0
423,102,D,0
424,103,D,0
425,104,D,1
426,105,D,0
427,106,D,0
428,0,E,9
429,1,E,30
430,2,E,2
431,3,E,0
432,4,E,1
433,5,E,3
434,6,E,2
435,7,E,0
436,8,E,0
437,9,E,3
438,10,E,1
439,11,E,2
440,12,E,0
441,13,E,0
442,14,E,0
443,15,E,0
444,16,E,0
445,17,E,97
446,18,E,0
447,19,E,7
448,20,E,6
449,21,E,0
450,22,E,4
451,23,E,2
452,24,E,0
453,25,E,2
454,26,E,0
455,27,E,0
456,28,E,0
457,29,E,0
458,30,E,0
459,31,E,10
460,32,E,0
461,33,E,3
462,34,E,0
463,35,E,0
464,36,E,0
465,37,E,5
466,38,E,0
467,39,E,0
468,40,E,9
469,41,E,0
470,42,E,0
471,43,E,0
472,44,E,1
473,45,E,0
474,46,E,1
475,47,E,0
476,48,E,0
477,49,E,0
478,50,E,0
479,51,E,1
480,52,E,0
481,53,E,0
482,54,E,0
483,55,E,0
484,56,E,0
485,57,E,0
486,58,E,0
487,59,E,0
488,60,E,0
489,61,E,0
490,62,E,2
491,63,E,0
492,64,E,0
493,65,E,0
494,66,E,0
495,67,E,0
496,68,E,0
497,69,E,0
498,70,E,0
499,71,E,0
500,72,E,0
501,73,E,0
502,74,E,0
503,75,E,1
504,76,E,0
505,77,E,1
506,78,E,0
507,79,E,0
508,80,E,0
509,81,E,2
510,82,E,0
511,83,E,1
512,84,E,0
513,85,E,0
514,86,E,1
515,87,E,0
516,88,E,2
517,89,E,0
518,90,E,0
519,91,E,0
520,92,E,0
521,93,E,0
522,94,E,0
523,95,E,0
524,96,E,0
525,97,E,0
526,98,E,0
527,99,E,0
528,100,E,0
529,101,E,0
530,102,E,0
531,103,E,0
532,104,E,0
533,105,E,0
534,106,E,0
535,0,F,8
536,1,F,31
537,2,F,16
538,3,F,0
539,4,F,1
540,5,F,43
541,6,F,0
542,7,F,1
543,8,F,1
544,9,F,16
545,10,F,0
546,11,F,0
547,12,F,1
548,13,F,5
549,14,F,0
550,15,F,0
551,16,F,2
552,17,F,8
553,18,F,0
554,19,F,4
555,20,F,1
556,21,F,0
557,22,F,5
558,23,F,1
559,24,F,1
560,25,F,1
561,26,F,12
562,27,F,0
563,28,F,0
564,29,F,0
565,30,F,3
566,31,F,16
567,32,F,0
568,33,F,97
569,34,F,0
570,35,F,9
571,36,F,0
572,37,F,3
573,38,F,0
574,39,F,1
575,40,F,8
576,41,F,0
577,42,F,0
578,43,F,0
579,44,F,0
580,45,F,5
581,46,F,40
582,47,F,0
583,48,F,0
584,49,F,0
585,50,F,0
586,51,F,8
587,52,F,0
588,53,F,0
589,54,F,0
590,55,F,0
591,56,F,0
592,57,F,0
593,58,F,0
594,59,F,0
595,60,F,0
596,61,F,0
597,62,F,0
598,63,F,0
599,64,F,0
600,65,F,0
601,66,F,1
602,67,F,0
603,68,F,3
604,69,F,0
605,70,F,1
606,71,F,0
607,72,F,0
608,73,F,0
609,74,F,0
610,75,F,33
611,76,F,0
612,77,F,6
613,78,F,1
614,79,F,1
615,80,F,0
616,81,F,5
617,82,F,0
618,83,F,2
619,84,F,3
620,85,F,2
621,86,F,0
622,87,F,0
623,88,F,1
624,89,F,0
625,90,F,0
626,91,F,0
627,92,F,0
628,93,F,0
629,94,F,0
630,95,F,0
631,96,F,0
632,97,F,0
633,98,F,0
634,99,F,0
635,100,F,0
636,101,F,0
637,102,F,0
638,103,F,0
639,104,F,0
640,105,F,0
641,106,F,0
642,0,G,3747
643,1,G,2779
644,2,G,57
645,3,G,44
646,4,G,178
647,5,G,123
648,6,G,171
649,7,G,54
650,8,G,40
651,9,G,1140
652,10,G,201
653,11,G,1135
654,12,G,69
655,13,G,319
656,14,G,605
657,15,G,658
658,16,G,38
659,17,G,676
660,18,G,25
661,19,G,583
662,20,G,30
663,21,G,727
664,22,G,22
665,23,G,484
666,24,G,81
667,25,G,144
668,26,G,360
669,27,G,42
670,28,G,98
671,29,G,272
672,30,G,234
673,31,G,83
674,32,G,32
675,33,G,294
676,34,G,121
677,35,G,35
678,36,G,318
679,37,G,59
680,38,G,6
681,39,G,362
682,40,G,18
683,41,G,20
684,42,G,170
685,43,G,10
686,44,G,18
687,45,G,35
688,46,G,244
689,47,G,2
690,48,G,15
691,49,G,329
692,50,G,7
693,51,G,189
694,52,G,97
695,53,G,23
696,54,G,68
697,55,G,13
698,56,G,5
699,57,G,65
700,58,G,0
701,59,G,7
702,60,G,22
703,61,G,15
704,62,G,8
705,63,G,69
706,64,G,12
707,65,G,10
708,66,G,34
709,67,G,7
710,68,G,122
711,69,G,37
712,70,G,10
713,71,G,12
714,72,G,7
715,73,G,248
716,74,G,265
717,75,G,77
718,76,G,19
719,77,G,40
720,78,G,264
721,79,G,1
722,80,G,5
723,81,G,145
724,82,G,38
725,83,G,19
726,84,G,48
727,85,G,169
728,86,G,288
729,87,G,132
730,88,G,23
731,89,G,204
732,90,G,0
733,91,G,0
734,92,G,37
735,93,G,4
736,94,G,1
737,95,G,194
738,96,G,0
739,97,G,1
740,98,G,10
741,99,G,33
742,100,G,36
743,101,G,8
744,102,G,8
745,103,G,73
746,104,G,6
747,105,G,108
748,106,G,49
749,0,H,237
750,1,H,2400
751,2,H,287
752,3,H,48
753,4,H,5
754,5,H,21
755,6,H,4
756,7,H,1
757,8,H,1535
758,9,H,533
759,10,H,11
760,11,H,352
761,12,H,0
762,13,H,5
763,14,H,14
764,15,H,0
765,16,H,5
766,17,H,36
767,18,H,0
768,19,H,291
769,20,H,23
770,21,H,132
771,22,H,2
772,23,H,17
773,24,H,656
774,25,H,200
775,26,H,58
776,27,H,0
777,28,H,595
778,29,H,48
779,30,H,19
780,31,H,61
781,32,H,0
782,33,H,82
783,34,H,0
784,35,H,29
785,36,H,295
786,37,H,131
787,38,H,2
788,39,H,228
789,40,H,2
790,41,H,0
791,42,H,4
792,43,H,0
793,44,H,1
794,45,H,193
795,46,H,172
796,47,H,0
797,48,H,1
798,49,H,96
799,50,H,0
800,51,H,91
801,52,H,0
802,53,H,0
803,54,H,0
804,55,H,0
805,56,H,0
806,57,H,1
807,58,H,0
808,59,H,6
809,60,H,0
810,61,H,0
811,62,H,3
812,63,H,0
813,64,H,0
814,65,H,0
815,66,H,0
816,67,H,0
817,68,H,3
818,69,H,0
819,70,H,263
820,71,H,0
821,72,H,0
822,73,H,45
823,74,H,17
824,75,H,4
825,76,H,0
826,77,H,9
827,78,H,3
828,79,H,0
829,80,H,0
830,81,H,49
831,82,H,0
832,83,H,139
833,84,H,107
834,85,H,12
835,86,H,2
836,87,H,0
837,88,H,2
838,89,H,1
839,90,H,0
840,91,H,0
841,92,H,183
842,93,H,0
843,94,H,0
844,95,H,54
845,96,H,0
846,97,H,0
847,98,H,0
848,99,H,0
849,100,H,0
850,101,H,170
851,102,H,2
852,103,H,0
853,104,H,0
854,105,H,132
855,106,H,0
