,Topic,Discipline,Quantity
140,44,ENGINEERING,0
141,45,ENGINEERING,0
142,46,ENGINEERING,0
143,47,ENGINEERING,0
144,0,GEOSCIENCES,0
145,1,GEOSCIENCES,0
146,2,GEOSCIENCES,0
147,3,GEOSCIENCES,0
148,4,GEOSCIENCES,0
149,5,GEOSCIENCES,0
150,6,GEOSCIENCES,0
151,7,GEOSCIENCES,0
152,8,GEOSCIENCES,0
153,9,GEOSCIENCES,0
154,10,GEOSCIENCES,0
155,11,GEOSCIENCES,0
156,12,GEOSCIENCES,0
157,13,GEOSCIENCES,0
158,14,GEOSCIENCES,0
159,15,GEOSCIENCES,0
160,16,GEOSCIENCES,0
161,17,GEOSCIENCES,0
162,18,GEOSCIENCES,0
163,19,GEOSCIENCES,0
164,20,GEOSCIENCES,0
165,21,GEOSCIENCES,0
166,22,GEOSCIENCES,0
167,23,GEOSCIENCES,0
168,24,GEOSCIENCES,0
169,25,GEOSCIENCES,0
170,26,GEOSCIENCES,0
171,27,GEOSCIENCES,0
172,28,GEOSCIENCES,0
173,29,GEOSCIENCES,0
174,30,GEOSCIENCES,0
175,31,GEOSCIENCES,0
176,32,GEOSCIENCES,0
177,33,GEOSCIENCES,0
178,34,GEOSCIENCES,0
179,35,GEOSCIENCES,0
180,36,GEOSCIENCES,0
181,37,GEOSCIENCES,0
182,38,GEOSCIENCES,0
183,39,GEOSCIENCES,0
184,40,GEOSCIENCES,0
185,41,GEOSCIENCES,0
186,42,GEOSCIENCES,0
187,43,GEOSCIENCES,0
188,44,GEOSCIENCES,0
189,45,GEOSCIENCES,0
190,46,GEOSCIENCES,0
191,47,GEOSCIENCES,0
192,0,PHARMACOLOGY & TOXICOLOGY,5
193,1,PHARMACOLOGY & TOXICOLOGY,8
194,2,PHARMACOLOGY & TOXICOLOGY,29
195,3,PHARMACOLOGY & TOXICOLOGY,5
196,4,PHARMACOLOGY & TOXICOLOGY,19
197,5,PHARMACOLOGY & TOXICOLOGY,6
198,6,PHARMACOLOGY & TOXICOLOGY,33
199,7,PHARMACOLOGY & TOXICOLOGY,2
200,8,PHARMACOLOGY & TOXICOLOGY,18
201,9,PHARMACOLOGY & TOXICOLOGY,3
202,10,PHARMACOLOGY & TOXICOLOGY,59
203,11,PHARMACOLOGY & TOXICOLOGY,9
204,12,PHARMACOLOGY & TOXICOLOGY,3
205,13,PHARMACOLOGY & TOXICOLOGY,2
206,14,PHARMACOLOGY & TOXICOLOGY,1
207,15,PHARMACOLOGY & TOXICOLOGY,0
208,16,PHARMACOLOGY & TOXICOLOGY,2
209,17,PHARMACOLOGY & TOXICOLOGY,0
210,18,PHARMACOLOGY & TOXICOLOGY,12
211,19,PHARMACOLOGY & TOXICOLOGY,2
212,20,PHARMACOLOGY & TOXICOLOGY,31
213,21,PHARMACOLOGY & TOXICOLOGY,2
214,22,PHARMACOLOGY & TOXICOLOGY,2
215,23,PHARMACOLOGY & TOXICOLOGY,0
216,24,PHARMACOLOGY & TOXICOLOGY,2
217,25,PHARMACOLOGY & TOXICOLOGY,0
218,26,PHARMACOLOGY & TOXICOLOGY,0
219,27,PHARMACOLOGY & TOXICOLOGY,3
220,28,PHARMACOLOGY & TOXICOLOGY,0
221,29,PHARMACOLOGY & TOXICOLOGY,6
222,30,PHARMACOLOGY & TOXICOLOGY,1
223,31,PHARMACOLOGY & TOXICOLOGY,1
224,32,PHARMACOLOGY & TOXICOLOGY,0
225,33,PHARMACOLOGY & TOXICOLOGY,0
226,34,PHARMACOLOGY & TOXICOLOGY,1
227,35,PHARMACOLOGY & TOXICOLOGY,0
228,36,PHARMACOLOGY & TOXICOLOGY,0
229,37,PHARMACOLOGY & TOXICOLOGY,2
230,38,PHARMACOLOGY & TOXICOLOGY,0
231,39,PHARMACOLOGY & TOXICOLOGY,4
232,40,PHARMACOLOGY & TOXICOLOGY,1
233,41,PHARMACOLOGY & TOXICOLOGY,0
234,42,PHARMACOLOGY & TOXICOLOGY,1
235,43,PHARMACOLOGY & TOXICOLOGY,0
236,44,PHARMACOLOGY & TOXICOLOGY,6
237,45,PHARMACOLOGY & TOXICOLOGY,0
238,46,PHARMACOLOGY & TOXICOLOGY,3
239,47,PHARMACOLOGY & TOXICOLOGY,0
240,0,ECONOMICS & BUSINESS,0
241,1,ECONOMICS & BUSINESS,0
242,2,ECONOMICS & BUSINESS,0
243,3,ECONOMICS & BUSINESS,0
244,4,ECONOMICS & BUSINESS,0
245,5,ECONOMICS & BUSINESS,0
246,6,ECONOMICS & BUSINESS,0
247,7,ECONOMICS & BUSINESS,0
248,8,ECONOMICS & BUSINESS,0
249,9,ECONOMICS & BUSINESS,0
250,10,ECONOMICS & BUSINESS,0
251,11,ECONOMICS & BUSINESS,0
252,12,ECONOMICS & BUSINESS,0
253,13,ECONOMICS & BUSINESS,0
254,14,ECONOMICS & BUSINESS,0
255,15,ECONOMICS & BUSINESS,0
256,16,ECONOMICS & BUSINESS,0
257,17,ECONOMICS & BUSINESS,0
258,18,ECONOMICS & BUSINESS,0
259,19,ECONOMICS & BUSINESS,0
260,20,ECONOMICS & BUSINESS,0
261,21,ECONOMICS & BUSINESS,0
262,22,ECONOMICS & BUSINESS,0
