,Topic,IPC,Quantity
347,32,F,0
348,33,F,0
349,34,F,2
350,35,F,0
351,36,F,0
352,37,F,0
353,38,F,0
354,39,F,1
355,40,F,0
356,41,F,3
357,42,F,0
358,43,F,0
359,44,F,1
360,45,F,0
361,46,F,0
362,47,F,0
363,48,F,0
364,49,F,0
365,50,F,0
366,51,F,0
367,52,F,3
368,53,F,0
369,54,F,0
370,55,F,0
371,56,F,51
372,57,F,0
373,58,F,0
374,59,F,2
375,60,F,0
376,61,F,0
377,62,F,0
378,0,G,3550
379,1,G,202
380,2,G,191
381,3,G,1152
382,4,G,244
383,5,G,80
384,6,G,1127
385,7,G,1411
386,8,G,44
387,9,G,36
388,10,G,87
389,11,G,43
390,12,G,8
391,13,G,205
392,14,G,10
393,15,G,36
394,16,G,58
395,17,G,279
396,18,G,28
397,19,G,309
398,20,G,0
399,21,G,25
400,22,G,68
401,23,G,51
402,24,G,30
403,25,G,21
404,26,G,5
405,27,G,263
406,28,G,24
407,29,G,332
408,30,G,79
409,31,G,17
410,32,G,28
411,33,G,21
412,34,G,34
413,35,G,28
414,36,G,34
415,37,G,104
416,38,G,0
417,39,G,3
418,40,G,43
419,41,G,23
420,42,G,25
421,43,G,86
422,44,G,14
423,45,G,11
424,46,G,26
425,47,G,15
426,48,G,115
427,49,G,1
428,50,G,67
429,51,G,0
430,52,G,14
431,53,G,130
432,54,G,19
433,55,G,9
434,56,G,90
435,57,G,12
436,58,G,6
437,59,G,108
438,60,G,3
439,61,G,5
440,62,G,1
441,0,H,47
442,1,H,328
443,2,H,0
444,3,H,121
445,4,H,16
446,5,H,67
447,6,H,508
448,7,H,410
449,8,H,7
450,9,H,1
451,10,H,45
452,11,H,865
453,12,H,1
454,13,H,106
455,14,H,0
456,15,H,0
457,16,H,245
458,17,H,200
459,18,H,0
460,19,H,285
461,20,H,0
462,21,H,0
463,22,H,496
464,23,H,169
465,24,H,0
466,25,H,332
467,26,H,361
468,27,H,6
469,28,H,0
470,29,H,11
471,30,H,313
472,31,H,1
473,32,H,0
474,33,H,0
475,34,H,154
476,35,H,0
477,36,H,0
478,37,H,0
479,38,H,0
480,39,H,190
481,40,H,0
482,41,H,5
483,42,H,0
484,43,H,1
485,44,H,131
486,45,H,0
487,46,H,0
488,47,H,0
489,48,H,110
490,49,H,0
491,50,H,0
492,51,H,0
493,52,H,4
494,53,H,71
495,54,H,0
496,55,H,6
497,56,H,34
498,57,H,0
499,58,H,0
500,59,H,2
501,60,H,0
502,61,H,0
503,62,H,0
