,Topic,Discipline,Quantity
125,56,BIOLOGY & BIOCHEMISTRY,1
126,57,BIOLOGY & BIOCHEMISTRY,3
127,58,BIOLOGY & BIOCHEMISTRY,17
128,59,BIOLOGY & BIOCHEMISTRY,1
129,60,BIOLOGY & BIOCHEMISTRY,1
130,61,BIOLOGY & BIOCHEMISTRY,7
131,62,BIOLOGY & BIOCHEMISTRY,5
132,63,BIOLOGY & BIOCHEMISTRY,0
133,64,BIOLOGY & BIOCHEMISTRY,3
134,65,BIOLOGY & BIOCHEMISTRY,3
135,66,BIOLOGY & BIOCHEMISTRY,0
136,67,BIOLOGY & BIOCHEMISTRY,0
137,68,BIOLOGY & BIOCHEMISTRY,0
138,0,ENGINEERING,0
139,1,ENGINEERING,0
140,2,ENGINEERING,6
141,3,ENGINEERING,0
142,4,ENGINEERING,0
143,5,ENGINEERING,0
144,6,ENGINEERING,46
145,7,ENGINEERING,0
146,8,ENGINEERING,0
147,9,ENGINEERING,0
148,10,ENGINEERING,0
149,11,ENGINEERING,0
150,12,ENGINEERING,0
151,13,ENGINEERING,0
152,14,ENGINEERING,0
153,15,ENGINEERING,0
154,16,ENGINEERING,0
155,17,ENGINEERING,0
156,18,ENGINEERING,0
157,19,ENGINEERING,0
158,20,ENGINEERING,0
159,21,ENGINEERING,0
160,22,ENGINEERING,0
161,23,ENGINEERING,0
162,24,ENGINEERING,1
163,25,ENGINEERING,0
164,26,ENGINEERING,0
165,27,ENGINEERING,0
166,28,ENGINEERING,0
167,29,ENGINEERING,0
168,30,ENGINEERING,0
169,31,ENGINEERING,0
170,32,ENGINEERING,0
171,33,ENGINEERING,0
172,34,ENGINEERING,0
173,35,ENGINEERING,0
174,36,ENGINEERING,0
175,37,ENGINEERING,0
176,38,ENGINEERING,0
177,39,ENGINEERING,0
178,40,ENGINEERING,0
179,41,ENGINEERING,0
180,42,ENGINEERING,0
181,43,ENGINEERING,0
182,44,ENGINEERING,0
183,45,ENGINEERING,0
184,46,ENGINEERING,0
185,47,ENGINEERING,0
186,48,ENGINEERING,0
187,49,ENGINEERING,1
188,50,ENGINEERING,0
189,51,ENGINEERING,0
190,52,ENGINEERING,0
191,53,ENGINEERING,0
192,54,ENGINEERING,0
193,55,ENGINEERING,1
194,56,ENGINEERING,0
195,57,ENGINEERING,0
196,58,ENGINEERING,0
197,59,ENGINEERING,0
198,60,ENGINEERING,0
199,61,ENGINEERING,0
200,62,ENGINEERING,0
201,63,ENGINEERING,1
202,64,ENGINEERING,0
203,65,ENGINEERING,0
204,66,ENGINEERING,0
205,67,ENGINEERING,0
206,68,ENGINEERING,0
207,0,GEOSCIENCES,0
208,1,GEOSCIENCES,0
209,2,GEOSCIENCES,2
210,3,GEOSCIENCES,0
211,4,GEOSCIENCES,0
212,5,GEOSCIENCES,0
213,6,GEOSCIENCES,0
214,7,GEOSCIENCES,0
215,8,GEOSCIENCES,0
216,9,GEOSCIENCES,0
217,10,GEOSCIENCES,0
218,11,GEOSCIENCES,0
219,12,GEOSCIENCES,0
220,13,GEOSCIENCES,0
221,14,GEOSCIENCES,0
222,15,GEOSCIENCES,0
223,16,GEOSCIENCES,0
224,17,GEOSCIENCES,0
225,18,GEOSCIENCES,0
226,19,GEOSCIENCES,0
227,20,GEOSCIENCES,0
228,21,GEOSCIENCES,0
229,22,GEOSCIENCES,0
230,23,GEOSCIENCES,0
231,24,GEOSCIENCES,1
232,25,GEOSCIENCES,0
233,26,GEOSCIENCES,0
234,27,GEOSCIENCES,0
235,28,GEOSCIENCES,0
236,29,GEOSCIENCES,0
237,30,GEOSCIENCES,0
238,31,GEOSCIENCES,0
239,32,GEOSCIENCES,0
240,33,GEOSCIENCES,0
241,34,GEOSCIENCES,0
242,35,GEOSCIENCES,0
243,36,GEOSCIENCES,0
244,37,GEOSCIENCES,0
245,38,GEOSCIENCES,0
246,39,GEOSCIENCES,0
247,40,GEOSCIENCES,0
248,41,GEOSCIENCES,0
249,42,GEOSCIENCES,0
250,43,GEOSCIENCES,0
251,44,GEOSCIENCES,0
252,45,GEOSCIENCES,0
253,46,GEOSCIENCES,0
254,47,GEOSCIENCES,0
255,48,GEOSCIENCES,0
256,49,GEOSCIENCES,0
257,50,GEOSCIENCES,0
258,51,GEOSCIENCES,0
259,52,GEOSCIENCES,0
260,53,GEOSCIENCES,0
261,54,GEOSCIENCES,0
