,Topic,Discipline,Quantity
140,44,ENGINEERING,0
141,45,ENGINEERING,0
142,46,ENGINEERING,5
143,47,ENGINEERING,0
144,0,GEOSCIENCES,0
145,1,GEOSCIENCES,10
146,2,GEOSCIENCES,167
147,3,GEOSCIENCES,0
148,4,GEOSCIENCES,0
149,5,GEOSCIENCES,0
150,6,GEOSCIENCES,0
151,7,GEOSCIENCES,0
152,8,GEOSCIENCES,2
153,9,GEOSCIENCES,0
154,10,GEOSCIENCES,0
155,11,GEOSCIENCES,0
156,12,GEOSCIENCES,0
157,13,GEOSCIENCES,0
158,14,GEOSCIENCES,3
159,15,GEOSCIENCES,0
160,16,GEOSCIENCES,0
161,17,GEOSCIENCES,5
162,18,GEOSCIENCES,0
163,19,GEOSCIENCES,0
164,20,GEOSCIENCES,1
165,21,GEOSCIENCES,1
166,22,GEOSCIENCES,0
167,23,GEOSCIENCES,0
168,24,GEOSCIENCES,0
169,25,GEOSCIENCES,0
170,26,GEOSCIENCES,0
171,27,GEOSCIENCES,0
172,28,GEOSCIENCES,0
173,29,GEOSCIENCES,0
174,30,GEOSCIENCES,0
175,31,GEOSCIENCES,0
176,32,GEOSCIENCES,0
177,33,GEOSCIENCES,0
178,34,GEOSCIENCES,0
179,35,GEOSCIENCES,0
180,36,GEOSCIENCES,0
181,37,GEOSCIENCES,0
182,38,GEOSCIENCES,0
183,39,GEOSCIENCES,0
184,40,GEOSCIENCES,0
185,41,GEOSCIENCES,0
186,42,GEOSCIENCES,0
187,43,GEOSCIENCES,0
188,44,GEOSCIENCES,0
189,45,GEOSCIENCES,0
190,46,GEOSCIENCES,0
191,47,GEOSCIENCES,0
192,0,PHARMACOLOGY & TOXICOLOGY,179
193,1,PHARMACOLOGY & TOXICOLOGY,95
194,2,PHARMACOLOGY & TOXICOLOGY,0
195,3,PHARMACOLOGY & TOXICOLOGY,49
196,4,PHARMACOLOGY & TOXICOLOGY,59
197,5,PHARMACOLOGY & TOXICOLOGY,6
198,6,PHARMACOLOGY & TOXICOLOGY,141
199,7,PHARMACOLOGY & TOXICOLOGY,4
200,8,PHARMACOLOGY & TOXICOLOGY,0
201,9,PHARMACOLOGY & TOXICOLOGY,52
202,10,PHARMACOLOGY & TOXICOLOGY,6
203,11,PHARMACOLOGY & TOXICOLOGY,4
204,12,PHARMACOLOGY & TOXICOLOGY,0
205,13,PHARMACOLOGY & TOXICOLOGY,8
206,14,PHARMACOLOGY & TOXICOLOGY,1
207,15,PHARMACOLOGY & TOXICOLOGY,4
208,16,PHARMACOLOGY & TOXICOLOGY,0
209,17,PHARMACOLOGY & TOXICOLOGY,9
210,18,PHARMACOLOGY & TOXICOLOGY,0
211,19,PHARMACOLOGY & TOXICOLOGY,7
212,20,PHARMACOLOGY & TOXICOLOGY,2
213,21,PHARMACOLOGY & TOXICOLOGY,7
214,22,PHARMACOLOGY & TOXICOLOGY,2
215,23,PHARMACOLOGY & TOXICOLOGY,0
216,24,PHARMACOLOGY & TOXICOLOGY,0
217,25,PHARMACOLOGY & TOXICOLOGY,4
218,26,PHARMACOLOGY & TOXICOLOGY,0
219,27,PHARMACOLOGY & TOXICOLOGY,0
220,28,PHARMACOLOGY & TOXICOLOGY,8
221,29,PHARMACOLOGY & TOXICOLOGY,14
222,30,PHARMACOLOGY & TOXICOLOGY,12
223,31,PHARMACOLOGY & TOXICOLOGY,3
224,32,PHARMACOLOGY & TOXICOLOGY,0
225,33,PHARMACOLOGY & TOXICOLOGY,3
226,34,PHARMACOLOGY & TOXICOLOGY,0
227,35,PHARMACOLOGY & TOXICOLOGY,26
228,36,PHARMACOLOGY & TOXICOLOGY,2
229,37,PHARMACOLOGY & TOXICOLOGY,0
230,38,PHARMACOLOGY & TOXICOLOGY,0
231,39,PHARMACOLOGY & TOXICOLOGY,6
232,40,PHARMACOLOGY & TOXICOLOGY,2
233,41,PHARMACOLOGY & TOXICOLOGY,10
234,42,PHARMACOLOGY & TOXICOLOGY,0
235,43,PHARMACOLOGY & TOXICOLOGY,2
236,44,PHARMACOLOGY & TOXICOLOGY,1
237,45,PHARMACOLOGY & TOXICOLOGY,2
238,46,PHARMACOLOGY & TOXICOLOGY,0
239,47,PHARMACOLOGY & TOXICOLOGY,1
240,0,ECONOMICS & BUSINESS,0
241,1,ECONOMICS & BUSINESS,3
242,2,ECONOMICS & BUSINESS,54
243,3,ECONOMICS & BUSINESS,0
244,4,ECONOMICS & BUSINESS,0
245,5,ECONOMICS & BUSINESS,0
246,6,ECONOMICS & BUSINESS,0
247,7,ECONOMICS & BUSINESS,0
248,8,ECONOMICS & BUSINESS,0
249,9,ECONOMICS & BUSINESS,0
250,10,ECONOMICS & BUSINESS,0
251,11,ECONOMICS & BUSINESS,1
252,12,ECONOMICS & BUSINESS,0
253,13,ECONOMICS & BUSINESS,0
254,14,ECONOMICS & BUSINESS,0
255,15,ECONOMICS & BUSINESS,0
256,16,ECONOMICS & BUSINESS,0
257,17,ECONOMICS & BUSINESS,0
258,18,ECONOMICS & BUSINESS,0
259,19,ECONOMICS & BUSINESS,0
260,20,ECONOMICS & BUSINESS,0
261,21,ECONOMICS & BUSINESS,0
262,22,ECONOMICS & BUSINESS,0
