,Topic,Discipline,Quantity
129,15,ENGINEERING,10
130,16,ENGINEERING,1
131,17,ENGINEERING,0
132,18,ENGINEERING,18
133,19,ENGINEERING,0
134,20,ENGINEERING,4
135,21,ENGINEERING,0
136,22,ENGINEERING,2
137,23,ENGINEERING,9
138,24,ENGINEERING,0
139,25,ENGINEERING,10
140,26,ENGINEERING,0
141,27,ENGINEERING,0
142,28,ENGINEERING,1
143,29,ENGINEERING,0
144,30,ENGINEERING,0
145,31,ENGINEERING,286
146,32,ENGINEERING,0
147,33,ENGINEERING,0
148,34,ENGINEERING,34
149,35,ENGINEERING,8
150,36,ENGINEERING,1
151,37,ENGINEERING,10
152,38,ENGINEERING,46
153,39,ENGINEERING,55
154,40,ENGINEERING,0
155,41,ENGINEERING,0
156,42,ENGINEERING,0
157,43,ENGINEERING,28
158,44,ENGINEERING,0
159,45,ENGINEERING,7
160,46,ENGINEERING,0
161,47,ENGINEERING,9
162,48,ENGINEERING,96
163,49,ENGINEERING,0
164,50,ENGINEERING,0
165,51,ENGINEERING,10
166,52,ENGINEERING,0
167,53,ENGINEERING,0
168,54,ENGINEERING,1
169,55,ENGINEERING,1
170,56,ENGINEERING,0
171,0,GEOSCIENCES,43
172,1,GEOSCIENCES,0
173,2,GEOSCIENCES,0
174,3,GEOSCIENCES,0
175,4,GEOSCIENCES,0
176,5,GEOSCIENCES,1
177,6,GEOSCIENCES,0
178,7,GEOSCIENCES,7
179,8,GEOSCIENCES,0
180,9,GEOSCIENCES,0
181,10,GEOSCIENCES,74
182,11,GEOSCIENCES,0
183,12,GEOSCIENCES,0
184,13,GEOSCIENCES,0
185,14,GEOSCIENCES,0
186,15,GEOSCIENCES,0
187,16,GEOSCIENCES,0
188,17,GEOSCIENCES,0
189,18,GEOSCIENCES,2
190,19,GEOSCIENCES,0
191,20,GEOSCIENCES,0
192,21,GEOSCIENCES,0
193,22,GEOSCIENCES,0
194,23,GEOSCIENCES,0
195,24,GEOSCIENCES,0
196,25,GEOSCIENCES,4
197,26,GEOSCIENCES,0
198,27,GEOSCIENCES,0
199,28,GEOSCIENCES,0
200,29,GEOSCIENCES,0
201,30,GEOSCIENCES,0
202,31,GEOSCIENCES,0
203,32,GEOSCIENCES,0
204,33,GEOSCIENCES,0
205,34,GEOSCIENCES,0
206,35,GEOSCIENCES,0
207,36,GEOSCIENCES,0
208,37,GEOSCIENCES,0
209,38,GEOSCIENCES,0
210,39,GEOSCIENCES,54
211,40,GEOSCIENCES,1
212,41,GEOSCIENCES,0
213,42,GEOSCIENCES,0
214,43,GEOSCIENCES,1
215,44,GEOSCIENCES,0
216,45,GEOSCIENCES,0
217,46,GEOSCIENCES,0
218,47,GEOSCIENCES,6
219,48,GEOSCIENCES,0
220,49,GEOSCIENCES,0
221,50,GEOSCIENCES,1
222,51,GEOSCIENCES,0
223,52,GEOSCIENCES,0
224,53,GEOSCIENCES,0
225,54,GEOSCIENCES,0
226,55,GEOSCIENCES,0
227,56,GEOSCIENCES,0
228,0,PHARMACOLOGY & TOXICOLOGY,6
229,1,PHARMACOLOGY & TOXICOLOGY,65
230,2,PHARMACOLOGY & TOXICOLOGY,74
231,3,PHARMACOLOGY & TOXICOLOGY,145
232,4,PHARMACOLOGY & TOXICOLOGY,82
233,5,PHARMACOLOGY & TOXICOLOGY,28
234,6,PHARMACOLOGY & TOXICOLOGY,0
235,7,PHARMACOLOGY & TOXICOLOGY,0
236,8,PHARMACOLOGY & TOXICOLOGY,20
237,9,PHARMACOLOGY & TOXICOLOGY,30
238,10,PHARMACOLOGY & TOXICOLOGY,1
239,11,PHARMACOLOGY & TOXICOLOGY,14
240,12,PHARMACOLOGY & TOXICOLOGY,0
241,13,PHARMACOLOGY & TOXICOLOGY,0
242,14,PHARMACOLOGY & TOXICOLOGY,2
243,15,PHARMACOLOGY & TOXICOLOGY,2
244,16,PHARMACOLOGY & TOXICOLOGY,1
245,17,PHARMACOLOGY & TOXICOLOGY,13
246,18,PHARMACOLOGY & TOXICOLOGY,0
247,19,PHARMACOLOGY & TOXICOLOGY,1
248,20,PHARMACOLOGY & TOXICOLOGY,1
249,21,PHARMACOLOGY & TOXICOLOGY,2
250,22,PHARMACOLOGY & TOXICOLOGY,41
251,23,PHARMACOLOGY & TOXICOLOGY,0
252,24,PHARMACOLOGY & TOXICOLOGY,12
253,25,PHARMACOLOGY & TOXICOLOGY,0
254,26,PHARMACOLOGY & TOXICOLOGY,3
255,27,PHARMACOLOGY & TOXICOLOGY,28
256,28,PHARMACOLOGY & TOXICOLOGY,5
257,29,PHARMACOLOGY & TOXICOLOGY,2
258,30,PHARMACOLOGY & TOXICOLOGY,15
259,31,PHARMACOLOGY & TOXICOLOGY,2
260,32,PHARMACOLOGY & TOXICOLOGY,2
261,33,PHARMACOLOGY & TOXICOLOGY,1
262,34,PHARMACOLOGY & TOXICOLOGY,0
263,35,PHARMACOLOGY & TOXICOLOGY,0
264,36,PHARMACOLOGY & TOXICOLOGY,15
265,37,PHARMACOLOGY & TOXICOLOGY,2
266,38,PHARMACOLOGY & TOXICOLOGY,0
267,39,PHARMACOLOGY & TOXICOLOGY,0
268,40,PHARMACOLOGY & TOXICOLOGY,4
